airports,dep_airp,dep_lat,dep_lon,arr_airp,arr_lat,arr_lon,2022,2022Q1,2022Q2,2022Q3,2022Q4
AT_LOWW_DE_EDDH,AT_LOWW,48.10499675,16.5848987032657,DE_EDDH,53.63636215,9.994550134684175,442627,45558,123845,148774,124450
AT_LOWW_DE_EDDV,AT_LOWW,48.10499675,16.5848987032657,DE_EDDV,52.46144075,9.687236575826585,116769,9752,35598,37895,33524
AT_LOWW_PL_EPMO,AT_LOWW,48.10499675,16.5848987032657,PL_EPMO,52.450885650000004,20.648988117621318,83054,13302,20278,21744,27730
AT_LOWW_DE_EDDB,AT_LOWW,48.10499675,16.5848987032657,DE_EDDB,52.366528349999996,13.488062884599568,506143,61247,143211,157228,144457
AT_LOWW_PL_EPWA,AT_LOWW,48.10499675,16.5848987032657,PL_EPWA,52.16306505,20.970814903702912,258090,27012,67696,84988,78394
AT_LOWW_DE_EDLW,AT_LOWW,48.10499675,16.5848987032657,DE_EDLW,51.51690725,7.609717871665552,101983,21814,21872,30618,27679
AT_LOWW_DE_EDDL,AT_LOWW,48.10499675,16.5848987032657,DE_EDDL,51.287230449999996,6.762062530647745,385932,46781,109036,113685,116430
AT_LOWW_DE_EDDK,AT_LOWW,48.10499675,16.5848987032657,DE_EDDK,50.86778175,7.138960985502128,303275,45341,88456,82058,87420
AT_LOWW_PL_EPKK,AT_LOWW,48.10499675,16.5848987032657,PL_EPKK,50.078255299999995,19.78625376760332,147622,1913,45853,56464,43392
AT_LOWW_DE_EDDF,AT_LOWW,48.10499675,16.5848987032657,DE_EDDF,50.02294325,8.524937254258731,720500,108988,198025,209090,204397
AT_LOWW_FR_LFOB,AT_LOWW,48.10499675,16.5848987032657,FR_LFOB,49.4543222,2.11166864195493,77493,14692,20071,25636,17094
AT_LOWW_FR_LFPG,AT_LOWW,48.10499675,16.5848987032657,FR_LFPG,49.0068908,2.5710819691019156,621527,78081,177249,185926,180271
AT_LOWW_DE_EDDS,AT_LOWW,48.10499675,16.5848987032657,DE_EDDS,48.68842195,9.205392504886913,216976,23189,62870,67566,63351
AT_LOWW_DE_EDDM,AT_LOWW,48.10499675,16.5848987032657,DE_EDDM,48.353962499999994,11.778592469106236,347142,49306,94689,101788,101359
AT_LOWW_HU_LHBP,AT_LOWW,48.10499675,16.5848987032657,HU_LHBP,47.43527295,19.2535105675693,110692,3444,29568,43313,34367
AT_LOWW_AT_LOWI,AT_LOWW,48.10499675,16.5848987032657,AT_LOWI,47.2597258,11.341870474999986,95864,18554,25702,26961,24647
AT_LOWW_AT_LOWG,AT_LOWW,48.10499675,16.5848987032657,AT_LOWG,46.98874805,15.440023285611247,80550,9576,23460,24846,22668
AT_LOWW_FR_LFMN,AT_LOWW,48.10499675,16.5848987032657,FR_LFMN,43.65980345,7.213706629141443,173138,14546,48292,71935,38365
AT_LOWW_BG_LBWN,AT_LOWW,48.10499675,16.5848987032657,BG_LBWN,43.23393595,27.82334163112307,119455,10356,28232,45985,34882
AT_LOWW_BG_LBSF,AT_LOWW,48.10499675,16.5848987032657,BG_LBSF,42.6955647,23.41420825648208,275610,38355,66345,85419,85491
AT_LOWW_ES_LEBL,AT_LOWW,48.10499675,16.5848987032657,ES_LEBL,41.29694395,2.0790473629813215,574282,66987,165755,188755,152785
AT_LOWW_ES_LEMD,AT_LOWW,48.10499675,16.5848987032657,ES_LEMD,40.4952269,-3.573372944738505,400324,66017,102645,112791,118871
AT_LOWW_ES_LEVC,AT_LOWW,48.10499675,16.5848987032657,ES_LEVC,39.49152155,-0.4739026334391784,106486,15389,23186,40978,26933
AT_LOWW_PT_LPPT,AT_LOWW,48.10499675,16.5848987032657,PT_LPPT,38.7809542,-9.131900592219496,246841,56917,61761,67885,60278
AT_LOWW_EL_LGAV,AT_LOWW,48.10499675,16.5848987032657,EL_LGAV,37.9372535,23.95462175657147,390258,58552,105196,128348,98162
AT_LOWW_EL_LGTS,AT_LOWW,48.10499675,16.5848987032657,EL_LGTS,36.6892737,3.3611126,174682,16891,46995,66095,44701
AT_LOWW_ES_LEMG,AT_LOWW,48.10499675,16.5848987032657,ES_LEMG,36.67854455,-4.499675681372699,212338,31743,52210,72542,55843
