airports,dep_airp,dep_lat,dep_lon,arr_airp,arr_lat,arr_lon,2022,2022Q1,2022Q2,2022Q3,2022Q4
BG_LBSF_BG_LBWN,BG_LBSF,42.6955647,23.41420825648208,BG_LBWN,43.23393595,27.82334163112307,212328 ,35530 ,56459 ,70396 ,49943 
BG_LBSF_DE_EDDB,BG_LBSF,42.6955647,23.41420825648208,DE_EDDB,52.366528349999996,13.488062884599568,92824 ,9599 ,27039 ,32270 ,23916 
BG_LBSF_DE_EDDF,BG_LBSF,42.6955647,23.41420825648208,DE_EDDF,50.02294325,8.524937254258731,277286 ,43395 ,76564 ,86559 ,70768 
BG_LBSF_DE_EDDK,BG_LBSF,42.6955647,23.41420825648208,DE_EDDK,50.86778175,7.138960985502128,87061 ,9525 ,30054 ,30964 ,16518 
BG_LBSF_DE_EDDM,BG_LBSF,42.6955647,23.41420825648208,DE_EDDM,48.353962499999994,11.778592469106236,238060 ,39913 ,62567 ,74002 ,61578 
BG_LBSF_DE_EDJA,BG_LBSF,42.6955647,23.41420825648208,DE_EDJA,47.9892386,10.235409335315072,108634 ,12023 ,32846 ,33421 ,30344 
BG_LBSF_DE_EDLW,BG_LBSF,42.6955647,23.41420825648208,DE_EDLW,51.51690725,7.609717871665552,106899 ,19148 ,30371 ,31908 ,25472 
BG_LBSF_EL_LGAV,BG_LBSF,42.6955647,23.41420825648208,EL_LGAV,37.9372535,23.95462175657147,108257 ,15537 ,26865 ,31568 ,34287 
BG_LBSF_ES_LEBL,BG_LBSF,42.6955647,23.41420825648208,ES_LEBL,41.29694395,2.0790473629813215,153133 ,26673 ,40568 ,45318 ,40574 
BG_LBSF_ES_LEMD,BG_LBSF,42.6955647,23.41420825648208,ES_LEMD,40.4952269,-3.573372944738505,128996 ,21922 ,32677 ,40386 ,34011 
BG_LBSF_ES_LEMG,BG_LBSF,42.6955647,23.41420825648208,ES_LEMG,36.67854455,-4.499675681372699,51463 ,1552 ,18644 ,21105 ,10162 
BG_LBSF_ES_LEVC,BG_LBSF,42.6955647,23.41420825648208,ES_LEVC,39.49152155,-0.4739026334391784,47780 ,8400 ,11940 ,13042 ,14398 
BG_LBSF_FR_LFOB,BG_LBSF,42.6955647,23.41420825648208,FR_LFOB,49.4543222,2.11166864195493,101443 ,19727 ,27878 ,26020 ,27818 
BG_LBSF_FR_LFPG,BG_LBSF,42.6955647,23.41420825648208,FR_LFPG,49.0068908,2.5710819691019156,83158 ,6915 ,21691 ,37562 ,16990 
BG_LBSF_PL_EPWA,BG_LBSF,42.6955647,23.41420825648208,PL_EPWA,52.16306505,20.970814903702912,90612 ,12109 ,22544 ,29230 ,26729 
