airports,dep_airp,dep_lat,dep_lon,arr_airp,arr_lat,arr_lon,2022,2022Q1,2022Q2,2022Q3,2022Q4
ES_LEBL_BG_LBSF,ES_LEBL,40.4952269,-3.573372944738505,BG_LBSF,42.6955647,23.41420825648208,153307 ,26654 ,41211 ,45090 ,40352 
ES_LEBL_DE_EDDB,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDB,52.366528349999996,13.488062884599568,457171 ,76258 ,116241 ,125285 ,139387 
ES_LEBL_DE_EDDF,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDF,50.02294325,8.524937254258731,783006 ,116851 ,244123 ,228714 ,193318 
ES_LEBL_DE_EDDH,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDH,53.63636215,9.994550134684175,201203 ,28030 ,56079 ,62988 ,54106 
ES_LEBL_DE_EDDK,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDK,50.86778175,7.138960985502128,256888 ,40397 ,69474 ,78432 ,68585 
ES_LEBL_DE_EDDL,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDL,51.287230449999996,6.762062530647745,321347 ,33466 ,86492 ,106455 ,94934 
ES_LEBL_DE_EDDM,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDM,48.353962499999994,11.778592469106236,710715 ,90634 ,206002 ,222633 ,191446 
ES_LEBL_DE_EDDS,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDS,48.68842195,9.205392504886913,267222 ,25715 ,74234 ,89580 ,77693 
ES_LEBL_DE_EDDV,ES_LEBL,40.4952269,-3.573372944738505,DE_EDDV,52.46144075,9.687236575826585,75795 ,4953 ,20771 ,27511 ,22560 
ES_LEBL_EL_LGAV,ES_LEBL,40.4952269,-3.573372944738505,EL_LGAV,37.9372535,23.95462175657147,292846 ,42380 ,66314 ,103001 ,81151 
ES_LEBL_ES_GCFV,ES_LEBL,40.4952269,-3.573372944738505,ES_GCFV,28.447124199999998,-13.866147581598085,163943 ,35981 ,38815 ,41125 ,48022 
ES_LEBL_ES_GCRR,ES_LEBL,40.4952269,-3.573372944738505,ES_GCRR,28.94568045,-13.60758816051166,231028 ,40485 ,58273 ,69055 ,63215 
ES_LEBL_ES_GCXO,ES_LEBL,40.4952269,-3.573372944738505,ES_GCXO,28.48275745,-16.34122474502233,591261 ,121294 ,142950 ,148654 ,178363 
ES_LEBL_ES_LEAL,ES_LEBL,40.4952269,-3.573372944738505,ES_LEAL,38.284417700000006,-0.5657529081106044,377897 ,64864 ,102261 ,103578 ,107194 
ES_LEBL_ES_LEAM,ES_LEBL,40.4952269,-3.573372944738505,ES_LEAM,36.84399365,-2.3719995931572844,88223 ,11594 ,28819 ,26277 ,21533 
ES_LEBL_ES_LEAS,ES_LEBL,40.4952269,-3.573372944738505,ES_LEAS,43.2151737,-8.8916247,258245 ,39428 ,68769 ,73790 ,76258 
ES_LEBL_ES_LEBB,ES_LEBL,40.4952269,-3.573372944738505,ES_LEBB,43.301720700000004,-2.919129659398936,545767 ,102167 ,154828 ,126899 ,161873 
ES_LEBL_ES_LECO,ES_LEBL,40.4952269,-3.573372944738505,ES_LECO,43.300259499999996,-8.379608542189715,249034 ,43134 ,62288 ,70871 ,72741 
ES_LEBL_ES_LEGR,ES_LEBL,40.4952269,-3.573372944738505,ES_LEGR,37.1867921,-3.7773118141046034,407775 ,68218 ,111420 ,107766 ,120371 
ES_LEBL_ES_LEIB,ES_LEBL,40.4952269,-3.573372944738505,ES_LEIB,38.87294785,1.370372414235323,1120262 ,152845 ,306044 ,415724 ,245649 
ES_LEBL_ES_LEJR,ES_LEBL,40.4952269,-3.573372944738505,ES_LEJR,36.74377795,-6.064049514261415,201918 ,21461 ,61722 ,70193 ,48542 
ES_LEBL_ES_LEMD,ES_LEBL,40.4952269,-3.573372944738505,ES_LEMD,40.4952269,-3.573372944738505,1765753 ,341508 ,452612 ,439723 ,531910 
ES_LEBL_ES_LEMG,ES_LEBL,40.4952269,-3.573372944738505,ES_LEMG,36.67854455,-4.499675681372699,797784 ,155194 ,199556 ,215951 ,227083 
ES_LEBL_ES_LEMH,ES_LEBL,40.4952269,-3.573372944738505,ES_LEMH,39.86298645,4.220607231805899,852713 ,96860 ,230467 ,356260 ,169126 
ES_LEBL_ES_LEST,ES_LEBL,40.4952269,-3.573372944738505,ES_LEST,42.89764215,-8.41891330714926,402803 ,74938 ,106042 ,109624 ,112199 
ES_LEBL_ES_LEVX,ES_LEBL,40.4952269,-3.573372944738505,ES_LEVX,42.232922450000004,-8.626166079129476,263164 ,35299 ,73009 ,79214 ,75642 
ES_LEBL_ES_LEXJ,ES_LEBL,40.4952269,-3.573372944738505,ES_LEXJ,43.42716075,-3.822844898531179,150468 ,10355 ,46297 ,56335 ,37481 
ES_LEBL_ES_LEZL,ES_LEBL,40.4952269,-3.573372944738505,ES_LEZL,37.41770265,-5.894928748748175,945471 ,193705 ,253143 ,227756 ,270867 
ES_LEBL_FR_LFBD,ES_LEBL,40.4952269,-3.573372944738505,FR_LFBD,44.82928695,-0.7125760651627708,136309 ,12812 ,30088 ,55588 ,37821 
ES_LEBL_FR_LFLL,ES_LEBL,40.4952269,-3.573372944738505,FR_LFLL,45.72442685,5.086515135250837,189980 ,35768 ,44337 ,51817 ,58058 
ES_LEBL_FR_LFML,ES_LEBL,40.4952269,-3.573372944738505,FR_LFML,43.4375155,5.213025909827175,95334 ,9815 ,20454 ,34706 ,30359 
ES_LEBL_FR_LFMN,ES_LEBL,40.4952269,-3.573372944738505,FR_LFMN,43.65980345,7.213706629141443,279067 ,33496 ,83211 ,91520 ,70840 
ES_LEBL_FR_LFOB,ES_LEBL,40.4952269,-3.573372944738505,FR_LFOB,49.4543222,2.11166864195493,119397 ,27938 ,30304 ,30722 ,30433 
ES_LEBL_FR_LFPG,ES_LEBL,40.4952269,-3.573372944738505,FR_LFPG,49.0068908,2.5710819691019156,1123664 ,183706 ,325808 ,315007 ,299143 
ES_LEBL_FR_LFPO,ES_LEBL,40.4952269,-3.573372944738505,FR_LFPO,48.73005725,2.3678372321914303,961158 ,180487 ,247385 ,271447 ,261839 
ES_LEBL_FR_LFRS,ES_LEBL,40.4952269,-3.573372944738505,FR_LFRS,47.151840899999996,-1.6084620308979245,237058 ,22034 ,68885 ,79859 ,66280 
ES_LEBL_FR_LFSB,ES_LEBL,40.4952269,-3.573372944738505,FR_LFSB,47.603236949999996,7.52434812773247,259654 ,38417 ,64572 ,80529 ,76136 
ES_LEBL_HU_LHBP,ES_LEBL,40.4952269,-3.573372944738505,HU_LHBP,47.43527295,19.2535105675693,312590 ,63382 ,79879 ,86164 ,83165 
ES_LEBL_PL_EPKK,ES_LEBL,40.4952269,-3.573372944738505,PL_EPKK,50.078255299999995,19.78625376760332,144999 ,38521 ,33379 ,35687 ,37412 
ES_LEBL_PL_EPMO,ES_LEBL,40.4952269,-3.573372944738505,PL_EPMO,52.450885650000004,20.648988117621318,91951 ,21129 ,22937 ,24162 ,23723 
ES_LEBL_PL_EPWA,ES_LEBL,40.4952269,-3.573372944738505,PL_EPWA,52.16306505,20.970814903702912,190260 ,31042 ,55487 ,53141 ,50590 
ES_LEBL_PT_LPPR,ES_LEBL,40.4952269,-3.573372944738505,PT_LPPR,41.248830350000006,-8.681037254488,577873 ,94672 ,157384 ,170250 ,155567 
ES_LEBL_PT_LPPT,ES_LEBL,40.4952269,-3.573372944738505,PT_LPPT,38.7809542,-9.131900592219496,939621 ,135521 ,240505 ,272315 ,291280 
ES_LEMD_BG_LBSF,ES_LEMD,40.4952269,-3.573372944738505,BG_LBSF,42.6955647,23.41420825648208,129946 ,21939 ,32763 ,40577 ,34667 
ES_LEMD_DE_EDDB,ES_LEMD,40.4952269,-3.573372944738505,DE_EDDB,52.366528349999996,13.488062884599568,439289 ,94513 ,110571 ,109851 ,124354 
ES_LEMD_DE_EDDF,ES_LEMD,40.4952269,-3.573372944738505,DE_EDDF,50.02294325,8.524937254258731,794045 ,136593 ,223536 ,228546 ,205370 
ES_LEMD_DE_EDDH,ES_LEMD,40.4952269,-3.573372944738505,DE_EDDH,53.63636215,9.994550134684175,179811 ,27979 ,49121 ,56233 ,46478 
ES_LEMD_DE_EDDL,ES_LEMD,40.4952269,-3.573372944738505,DE_EDDL,51.287230449999996,6.762062530647745,306287 ,57233 ,83522 ,76548 ,88984 
ES_LEMD_DE_EDDM,ES_LEMD,40.4952269,-3.573372944738505,DE_EDDM,48.353962499999994,11.778592469106236,786915 ,132523 ,215321 ,221661 ,217410 
ES_LEMD_EL_LGAV,ES_LEMD,40.4952269,-3.573372944738505,EL_LGAV,37.9372535,23.95462175657147,289828 ,28312 ,65039 ,136499 ,59978 
ES_LEMD_ES_GCFV,ES_LEMD,40.4952269,-3.573372944738505,ES_GCFV,28.447124199999998,-13.866147581598085,398697 ,76532 ,96489 ,122865 ,102811 
ES_LEMD_ES_GCLA,ES_LEMD,40.4952269,-3.573372944738505,ES_GCLA,28.626975700000003,-17.755484706917592,194118 ,30296 ,52318 ,58250 ,53254 
ES_LEMD_ES_GCRR,ES_LEMD,40.4952269,-3.573372944738505,ES_GCRR,28.94568045,-13.60758816051166,585545 ,117801 ,145568 ,173306 ,148870 
ES_LEMD_ES_GCXO,ES_LEMD,40.4952269,-3.573372944738505,ES_GCXO,28.48275745,-16.34122474502233,1305018 ,279622 ,314223 ,350343 ,360830 
ES_LEMD_ES_GEML,ES_LEMD,40.4952269,-3.573372944738505,ES_GEML,35.28015515,-2.9577493811029614,117947 ,22164 ,28935 ,34511 ,32337 
ES_LEMD_ES_LEAL,ES_LEMD,40.4952269,-3.573372944738505,ES_LEAL,38.284417700000006,-0.5657529081106044,279878 ,53540 ,65773 ,76369 ,84196 
