airports,dep_airp,dep_lat,dep_lon,arr_airp,arr_lat,arr_lon,2022,2022Q1,2022Q2,2022Q3,2022Q4
PL_EPWA_BG_LBBG,PL_EPWA,52.16306505,20.970814903702912,BG_LBBG,42.57022095,27.516987282032524,87439 ,,15987 ,66912 ,4540 
PL_EPWA_BG_LBSF,PL_EPWA,52.16306505,20.970814903702912,BG_LBSF,42.6955647,23.41420825648208,90692 ,12109 ,22626 ,29229 ,26728 
PL_EPWA_DE_EDDB,PL_EPWA,52.16306505,20.970814903702912,DE_EDDB,52.366528349999996,13.488062884599568,77363 ,9007 ,20525 ,24792 ,23039 
PL_EPWA_DE_EDDF,PL_EPWA,52.16306505,20.970814903702912,DE_EDDF,50.02294325,8.524937254258731,383590 ,62714 ,108537 ,102733 ,109606 
PL_EPWA_DE_EDDH,PL_EPWA,52.16306505,20.970814903702912,DE_EDDH,53.63636215,9.994550134684175,79426 ,10490 ,22162 ,23615 ,23159 
PL_EPWA_DE_EDDL,PL_EPWA,52.16306505,20.970814903702912,DE_EDDL,51.287230449999996,6.762062530647745,118207 ,10471 ,31391 ,38874 ,37471 
PL_EPWA_DE_EDDM,PL_EPWA,52.16306505,20.970814903702912,DE_EDDM,48.353962499999994,11.778592469106236,317165 ,43721 ,90455 ,94951 ,88038 
PL_EPWA_EL_LGAV,PL_EPWA,52.16306505,20.970814903702912,EL_LGAV,37.9372535,23.95462175657147,94208 ,7629 ,24080 ,32578 ,29921 
PL_EPWA_ES_LEBL,PL_EPWA,52.16306505,20.970814903702912,ES_LEBL,41.29694395,2.0790473629813215,190883 ,31859 ,55382 ,52907 ,50735 
PL_EPWA_ES_LEMD,PL_EPWA,52.16306505,20.970814903702912,ES_LEMD,40.4952269,-3.573372944738505,146661 ,23970 ,42097 ,41395 ,39199 
PL_EPWA_ES_LEMG,PL_EPWA,52.16306505,20.970814903702912,ES_LEMG,36.67854455,-4.499675681372699,79949 ,3495 ,26084 ,30774 ,19596 
PL_EPWA_FR_LFMN,PL_EPWA,52.16306505,20.970814903702912,FR_LFMN,43.65980345,7.213706629141443,76218 ,2116 ,24520 ,28319 ,21263 
PL_EPWA_FR_LFPG,PL_EPWA,52.16306505,20.970814903702912,FR_LFPG,49.0068908,2.5710819691019156,452323 ,68492 ,129765 ,131810 ,122256 
PL_EPWA_FR_LFPO,PL_EPWA,52.16306505,20.970814903702912,FR_LFPO,48.73005725,2.3678372321914303,131094 ,21532 ,36906 ,38920 ,33736 
PL_EPWA_HU_LHBP,PL_EPWA,52.16306505,20.970814903702912,HU_LHBP,47.43527295,19.2535105675693,198389 ,25485 ,54531 ,59443 ,58930 
PL_EPWA_PL_EPGD,PL_EPWA,52.16306505,20.970814903702912,PL_EPGD,54.376106300000004,18.474896599407934,209515 ,28747 ,55846 ,61535 ,63387 
PL_EPWA_PL_EPKK,PL_EPWA,52.16306505,20.970814903702912,PL_EPKK,50.078255299999995,19.78625376760332,285158 ,38197 ,75765 ,87621 ,83575 
PL_EPWA_PL_EPKT,PL_EPWA,52.16306505,20.970814903702912,PL_EPKT,50.4753013,19.08228177419207,90147 ,12039 ,25452 ,28266 ,24390 
PL_EPWA_PL_EPPO,PL_EPWA,52.16306505,20.970814903702912,PL_EPPO,52.42056395,16.8317916444456,115454 ,15781 ,32733 ,33619 ,33321 
PL_EPWA_PL_EPRZ,PL_EPWA,52.16306505,20.970814903702912,PL_EPRZ,50.11148165,22.018435906021026,181128 ,24559 ,48695 ,56397 ,51477 
PL_EPWA_PL_EPSC,PL_EPWA,52.16306505,20.970814903702912,PL_EPSC,53.5843896,14.90594395094535,103889 ,16065 ,27670 ,29329 ,30825 
PL_EPWA_PL_EPWR,PL_EPWA,52.16306505,20.970814903702912,PL_EPWR,51.1075552,16.8756697,232893 ,31349 ,61499 ,68625 ,71420 
PL_EPWA_PT_LPPT,PL_EPWA,52.16306505,20.970814903702912,PT_LPPT,38.7809542,-9.131900592219496,134466 ,18763 ,37460 ,44183 ,34060 
