airports,dep_airp,dep_lat,dep_lon,arr_airp,arr_lat,arr_lon,2022,2022Q1,2022Q2,2022Q3,2022Q4
PT_LPPT_DE_EDDB,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDB,52.366528349999996,13.488062884599568,298711 ,65079 ,83387 ,86237 ,64008 
PT_LPPT_DE_EDDF,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDF,50.02294325,8.524937254258731,692105 ,103433 ,209795 ,208307 ,170570 
PT_LPPT_DE_EDDH,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDH,53.63636215,9.994550134684175,160707 ,21106 ,45877 ,52129 ,41595 
PT_LPPT_DE_EDDK,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDK,50.86778175,7.138960985502128,130792 ,20321 ,39462 ,39624 ,31385 
PT_LPPT_DE_EDDL,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDL,51.287230449999996,6.762062530647745,206727 ,25503 ,60085 ,66946 ,54193 
PT_LPPT_DE_EDDM,PT_LPPT,38.7809542,-9.131900592219496,DE_EDDM,48.353962499999994,11.778592469106236,508687 ,82450 ,141762 ,148056 ,136419 
PT_LPPT_EL_LGAV,PT_LPPT,38.7809542,-9.131900592219496,EL_LGAV,37.9372535,23.95462175657147,93695 ,10889 ,26901 ,31956 ,23949 
PT_LPPT_ES_LEBB,PT_LPPT,38.7809542,-9.131900592219496,ES_LEBB,43.301720700000004,-2.919129659398936,109458 ,11501 ,25426 ,31340 ,41191 
PT_LPPT_ES_LEBL,PT_LPPT,38.7809542,-9.131900592219496,ES_LEBL,41.29694395,2.0790473629813215,919956 ,135670 ,240420 ,272281 ,271585 
PT_LPPT_ES_LEMD,PT_LPPT,38.7809542,-9.131900592219496,ES_LEMD,40.4952269,-3.573372944738505,1539048 ,247354 ,408300 ,455247 ,428147 
PT_LPPT_ES_LEMG,PT_LPPT,38.7809542,-9.131900592219496,ES_LEMG,36.67854455,-4.499675681372699,132445 ,24974 ,35168 ,34905 ,37398 
PT_LPPT_ES_LEVC,PT_LPPT,38.7809542,-9.131900592219496,ES_LEVC,39.49152155,-0.4739026334391784,199437 ,30422 ,51352 ,59687 ,57976 
PT_LPPT_ES_LEZL,PT_LPPT,38.7809542,-9.131900592219496,ES_LEZL,37.41770265,-5.894928748748175,142786 ,22301 ,39048 ,40893 ,40544 
PT_LPPT_FR_LFBD,PT_LPPT,38.7809542,-9.131900592219496,FR_LFBD,44.82928695,-0.7125760651627708,177725 ,35603 ,51416 ,48396 ,42310 
PT_LPPT_FR_LFBO,PT_LPPT,38.7809542,-9.131900592219496,FR_LFBO,43.629977999999994,1.360809880743464,197397 ,32241 ,52725 ,56505 ,55926 
PT_LPPT_FR_LFLL,PT_LPPT,38.7809542,-9.131900592219496,FR_LFLL,45.72442685,5.086515135250837,225787 ,45079 ,57739 ,61875 ,61094 
PT_LPPT_FR_LFML,PT_LPPT,38.7809542,-9.131900592219496,FR_LFML,43.4375155,5.213025909827175,228007 ,40317 ,59494 ,64556 ,63640 
PT_LPPT_FR_LFMN,PT_LPPT,38.7809542,-9.131900592219496,FR_LFMN,43.65980345,7.213706629141443,168727 ,28038 ,43453 ,48129 ,49107 
PT_LPPT_FR_LFOB,PT_LPPT,38.7809542,-9.131900592219496,FR_LFOB,49.4543222,2.11166864195493,143049 ,32982 ,31767 ,30722 ,47578 
PT_LPPT_FR_LFPG,PT_LPPT,38.7809542,-9.131900592219496,FR_LFPG,49.0068908,2.5710819691019156,643320 ,124626 ,176583 ,187222 ,154889 
PT_LPPT_FR_LFPO,PT_LPPT,38.7809542,-9.131900592219496,FR_LFPO,48.73005725,2.3678372321914303,1278044 ,221945 ,348078 ,370565 ,337456 
PT_LPPT_FR_LFRS,PT_LPPT,38.7809542,-9.131900592219496,FR_LFRS,47.151840899999996,-1.6084620308979245,174473 ,28194 ,52438 ,51304 ,42537 
PT_LPPT_FR_LFSB,PT_LPPT,38.7809542,-9.131900592219496,FR_LFSB,47.603236949999996,7.52434812773247,111298 ,22094 ,30670 ,30680 ,27854 
PT_LPPT_HU_LHBP,PT_LPPT,38.7809542,-9.131900592219496,HU_LHBP,47.43527295,19.2535105675693,118572 ,21409 ,29961 ,32491 ,34711 
PT_LPPT_PL_EPWA,PT_LPPT,38.7809542,-9.131900592219496,PL_EPWA,52.16306505,20.970814903702912,133623 ,18356 ,37201 ,44110 ,33956 
PT_LPPT_PT_LPFR,PT_LPPT,38.7809542,-9.131900592219496,PT_LPFR,37.017459599999995,-7.973933672397203,264775 ,47237 ,69913 ,83410 ,64215 
PT_LPPT_PT_LPHR,PT_LPPT,38.7809542,-9.131900592219496,PT_LPHR,38.520288199999996,-28.716200690172094,87853 ,8750 ,26112 ,35846 ,17145 
PT_LPPT_PT_LPLA,PT_LPPT,38.7809542,-9.131900592219496,PT_LPLA,38.764423699999995,-27.09108465736351,288331 ,44911 ,75766 ,98831 ,68823 
PT_LPPT_PT_LPMA,PT_LPPT,38.7809542,-9.131900592219496,PT_LPMA,32.69870795,-16.773314486554057,1223857 ,181498 ,354475 ,379276 ,308608 
PT_LPPT_PT_LPPD,PT_LPPT,38.7809542,-9.131900592219496,PT_LPPD,37.74310625,-25.701156342536887,794851 ,127694 ,219800 ,250795 ,196562 
PT_LPPT_PT_LPPR,PT_LPPT,38.7809542,-9.131900592219496,PT_LPPR,41.248830350000006,-8.681037254488,676991 ,96314 ,186323 ,203156 ,191198 
